"U","Li","Co","K","Cs","Sc","Ti"
0.660865,1.447158,0.959041,4.363048,2.037426,1.004321,3.656386
0.816241,1.20412,1.029384,4.296665,2.173186,1.164353,3.78951
1.4777,0.778151,1.303196,3.274158,2.800717,1.012837,3.986861
1.017868,1.079181,1.10721,4.294025,2.424882,1.120574,3.826593
0.728354,1.447158,1.029384,4.200029,1.939519,0.919078,3.470851
0.825426,1.041393,0.991226,4.261263,2.227887,1.071882,3.748963
0.580925,1.653213,0.991226,4.276002,2.152288,1.0086,3.551816
0.772322,1.380211,0.995635,4.389698,2.117271,0.944483,3.659536
0.751279,1.633468,0.968483,4.354493,2.143015,0.968483,3.64836
0.729974,1.80618,1.187521,4.273001,2.324282,1.257679,3.815511
0.954725,1.863323,1.064458,4.238799,2.247973,1.292256,3.957607
1.173769,1.819544,1.037426,4.21801,2.380211,1.283301,4.108903
0.838219,1.591065,0.90309,4.236537,2.318063,1.173186,3.908646
0.940516,1.748188,1.103804,4.241546,2.453318,1.396199,4.076276
0.920123,1.462398,1.004321,4.368473,2.167317,1.025306,3.721481
1.311542,1.278754,1.240549,4.204391,2.513218,1.068186,4.121888
1.512151,1.39794,0.875061,4.238799,2.518514,1.045323,3.852114
1.541205,1.763428,1.187521,4.382917,2.120574,1.075547,3.774517
1.184123,1.672098,0.919078,4.348694,2.143015,0.959041,3.678518
0.928908,1.838849,1.127105,4.257439,2.40654,1.146128,3.84342
1.505557,1.724276,1.049218,4.448552,2.227887,1.056905,3.758609
1.529815,1.755875,1.113943,4.293141,2.187521,1.053078,3.73504
1.222196,1.690196,0.982271,4.229682,2.214844,1.100371,3.863977
0.777427,1.20412,1.187521,4.161068,1.959041,1.243038,3.662947
0.819544,1.623249,1.176091,4.101403,1.886491,1.206826,3.814048
1.249443,1.875061,1.212188,4.113609,2.09691,1.149219,4.019116
0.440909,1.591065,1.056905,4.178401,1.799341,1.146128,3.721481
0.995196,1.50515,1.170262,4.262688,2.120574,1.187521,3.842172
0.681241,1.20412,1.064458,4.229426,1.857332,1.296665,3.642168
0.862131,1.579784,1.021189,4.430236,2.214844,0.913814,3.802363
0.951823,1.278754,1.004321,4.310906,2.403121,1.045323,3.967922
0.62941,1.70757,1.09691,4.383456,2.149219,1.025306,3.56632
1.095866,1.230449,0.892095,4.280806,2.255273,0.913814,3.717088
1.265996,1.623249,1.017033,4.367729,2.334454,0.977724,3.84398
1.288026,1.799341,1.025306,4.174351,2.357935,1.322219,4.081707
1.044148,1.778151,1.093422,4.250664,2.378398,1.296665,4.034628
0.824776,1.69897,1.149219,4.223236,2.359835,1.392697,4.12969
0.674861,1.857332,1.079181,4.271377,2.190332,1.227887,3.823865
1.042969,1.491362,1.100371,4.162564,2.471292,1.225309,4.022428
0.71265,1.568202,1.214844,4.291813,2.281033,1.220108,3.740047
1.001734,1.681241,1.089905,4.267641,2.274158,1.029384,3.846151
0.697229,1.431364,1.212188,4.327155,2.352183,1.11059,3.666892
1.327767,1.690196,1.041393,4.210586,2.158362,1.012837,3.040207
1.31471,1.322219,1.093422,4.416973,2.285557,1.033424,3.795532
1.288249,1.544068,1.012837,4.375664,2.193125,0.977724,3.608847
1.726401,1.30103,1.181844,4.325105,2.346353,1.025306,3.70944
0.960471,1.653213,1.041393,4.367169,2.127105,1.021189,3.618153
1.185825,1.146128,1.127105,4.277838,2.260071,0.977724,3.765072
0.903633,1.778151,1.113943,4.34811,2.064458,1.117271,3.697142
0.966142,1.755875,1.170262,4.385249,2.262451,1.082785,3.698188
0.917506,1.477121,0.995635,4.379306,2.206826,1.037426,3.798098
1.762978,1.623249,1.190332,4.357172,2.274158,1.068186,3.75694
1.053463,1.556303,1.041393,4.43361,2.178977,1.033424,3.672744
1.538825,1.740363,0.778151,4.459694,2.238046,0.838849,3.406881
1.704065,1.755875,0.875061,4.399328,2.247973,0.959041,3.500648
1.781899,1.869232,0.944483,4.381296,2.469822,0.94939,3.578639
1.512951,1.732394,0.792392,4.443419,2.206826,0.857332,3.481299
1.16465,1.748188,1.041393,4.338058,2.303196,0.857332,3.542452
1.309204,1.544068,0.963788,4.396722,2.089905,0.90309,3.487138
1.49693,1.60206,0.944483,4.378761,2.478566,0.991226,3.722716
1.587149,1.94939,0.963788,4.299289,2.292256,0.968483,3.625621
1.418301,1.880814,1.117271,4.251881,2.357935,1.120574,3.787673
1.279895,1.826075,0.982271,4.290035,2.320146,1.11059,3.699751
1.357554,1.556303,1.060698,4.308991,2.152288,1.033424,3.712902
0.311754,1.623249,0.778151,4.415474,1.69897,0.716003,3.33965
0.745075,1.763428,1.041393,4.327359,2.004321,0.959041,3.642959
0.721811,1.863323,0.934498,4.312389,1.913814,0.954243,3.4929
0.673021,1.230449,0.897627,4.321391,1.982271,0.763428,3.573915
0.694605,0.954243,1.068186,4.208441,1.869232,0.959041,3.614686
0.737193,1.681241,0.929419,4.178401,2.004321,1.075547,3.479143
0.662758,1.633468,0.892095,4.261025,1.90309,0.897627,3.652246
0.445604,1.568202,1.079181,4.284205,1.90309,1.149219,3.485011
0.559907,1.342423,1.045323,4.218536,1.90309,0.982271,3.589279
0.569374,1.50515,1.176091,4.299289,2.11059,1.155336,3.471732
0.611723,1.414973,0.80618,4.105169,1.838849,0.851258,3.697578
0.85187,1.732394,1.149219,4.209783,1.845098,1.252853,3.546419
0.579784,1.462398,0.892095,4.022841,1.845098,0.929419,3.592177
0.510545,1.690196,1.158362,4.205475,2.004321,0.897627,3.65629
0.571709,1.579784,0.826075,3.924848,1.832509,0.869232,3.230704
0.672098,1.544068,1.021189,4.195346,1.959041,0.90309,3.351023
0.727541,1.748188,1.178977,4.271144,1.963788,1.155336,3.602494
0.371068,1.113943,0.724276,4.110253,1.732394,0.579784,3.484015
0.264818,1,0.568202,3.962464,1.556303,0.50515,3.286456
0.684845,2.033424,1.372912,3.909663,2.149219,1.238046,3.255514
0.987666,1.763428,1.075547,4.447933,2.176091,1.173186,3.861295
1.568084,1.662758,1.060698,4.259594,2.324282,1.060698,3.922466
0.792392,1.819544,1.1959,4.155336,1.929419,1.181844,3.557267
0.868644,1.477121,1.089905,4.254306,1.832509,1.198657,3.647676
0.773055,1.518514,0.963788,4.230704,1.832509,1.068186,3.68097
0.838219,1.50515,1.025306,4.16465,2.021189,1.064458,3.49304
1.094122,1.80618,1.193125,4.094471,2.120574,1.330414,3.536685
0.542825,1.944483,1.146128,4.185542,1.929419,1.130334,3.848066
0.58995,1.770852,1.117271,4.155032,1.90309,1.201397,3.668852
1.454235,1.623249,0.986772,4.27462,2.640481,1.08636,3.697142
0.659916,1.322219,1.060698,4.237041,2.045323,0.94939,3.633973
1.31597,1.361728,1.09691,4.396199,2.238046,1.117271,3.680154
0.947924,1.462398,1.230449,4.040207,2.155336,1.378398,3.565139
0.879096,1.672098,1.269513,4.096562,2.09691,1.436163,3.745699
1.524396,1.531479,0.913814,4.133858,2.374748,1.127105,3.93847
0.855519,1.556303,0.94939,4.353724,1.939519,0.851258,3.675503
1.385964,1.716003,0.826075,4.252368,2.161368,0.995635,3.340642
0.753583,1.643453,1.113943,4.295347,2.238046,1.123852,3.375298
1.332236,1.491362,1.278754,4.147367,1.986772,1.403121,3.797198
1.674034,1.176091,1.235528,4.287578,2,1.32838,3.874656
1.610554,1.30103,1.017033,4.308564,2.193125,0.934498,3.792812
0.770115,1.20412,1.045323,4.194237,2.08636,0.934498,3.542327
0.870404,1.431364,0.913814,4.263636,2.045323,0.875061,3.572407
1.073352,1.278754,0.986772,4.175512,2.075547,0.875061,3.670895
0.696356,1.462398,0.869232,4.37236,2.029384,0.832509,3.61616
0.606381,1.176091,1.004321,4.117603,2.004321,0.924279,3.560982
0.931966,1.230449,1.290035,4.004751,2.247973,1.459392,3.931051
0.557507,1.230449,1.041393,4.206826,2.127105,1.0086,3.866819
0.737193,1.568202,1.017033,4.262925,2.071882,1.075547,3.581836
0.839478,1.39794,0.944483,4.256718,2.09691,1.037426,3.566437
0.773786,1.857332,0.908485,4.33726,2.245513,1.139879,3.715167
0.907411,1.913814,0.977724,4.334655,2.396199,1.08636,3.803935
0.623249,1.380211,0.845098,4.33163,1.939519,0.991226,3.603794
1.073718,1.146128,1.0086,4.249687,2.305351,1.037426,3.625621
0.720159,1.230449,1.238046,4.082785,2.041393,1.311754,3.991004
1.247728,1.591065,0.819544,4.36135,2.271842,0.851258,3.685742
1.059185,1.643453,0.857332,4.291591,2.136721,0.968483,3.54506
0.677607,1.716003,1,4.280578,1.939519,0.934498,3.553519
0.728354,1.724276,0.944483,4.390051,1.913814,0.94939,3.488551
0.468347,1.716003,0.869232,3.67256,1.612784,0.662758,3.250176
0.540329,1.857332,0.880814,4.331022,1.778151,0.826075,3.488127
0.700704,1.361728,0.959041,4.178113,1.973128,0.857332,3.644143
0.664642,1.672098,0.863323,4.319522,1.869232,0.908485,3.577607
0.64836,1.591065,0.913814,4.261501,1.875061,0.838849,3.604658
0.665581,1.176091,1.064458,4.265054,1.838849,0.875061,3.782688
0.792392,1.30103,1.053078,4.219846,2.041393,0.80618,3.658202
0.715167,1.176091,0.792392,4.278982,1.924279,0.70757,3.657152
0.55145,1.556303,0.959041,4.213252,1.832509,0.880814,3.557748
0.646404,1.544068,1.082785,4.211921,1.886491,0.880814,3.551938
0.526339,1.431364,0.763428,4.178401,1.740363,0.80618,3.607133
0.603144,1.556303,0.880814,4.310268,1.886491,0.80618,3.593729
0.594393,1.414973,0.913814,4.273464,1.845098,0.90309,3.583539
0.620136,1.041393,1.004321,4.262925,2.029384,0.851258,3.678427
0.634477,1.230449,0.845098,4.294025,1.838849,0.819544,3.754195
0.423246,1.230449,1.117271,3.955976,1.770852,1.260071,3.81816
0.536558,1.414973,1.004321,4.326541,1.986772,0.924279,3.725667
0.55145,1.20412,1.068186,4.204391,1.991226,1.133539,3.565139
0.731589,1.20412,0.908485,3.94389,1.944483,1.146128,3.502154
0.846955,1.20412,0.973128,4.042576,1.851258,1.120574,3.594282
0.513218,1.30103,1.123852,4.168203,1.724276,1.232996,3.709779
0.632457,1.230449,1.017033,4.034628,1.919078,1.060698,3.514016
0.820201,1.20412,1.071882,4.01536,1.80618,1.225309,3.606596
0.995635,1.612784,1.217484,4.068928,1.672098,1.243038,3.782329
1.01494,1.39794,0.913814,4.323252,1.792392,0.995635,3.506911
1.021603,1.491362,1.225309,3.894427,1.690196,1.311754,3.648555
0.80956,1.255273,1.139879,4.061829,2.103804,1.371068,3.739572
0.742725,0.778151,0.939519,3.263044,2.298853,1.082785,3.823148
0.710117,1.113943,1.037426,3.915347,2.033424,1.214844,3.745465
0.603144,1,1.021189,3.800167,1.643453,1.136721,3.566437
0.569374,0.90309,0.929419,4.01494,1.80618,1.0086,3.350248
0.506505,1.041393,0.954243,3.958038,1.832509,1.025306,3.573915
0.716003,1.278754,1.017033,4.293141,2.021189,0.94939,3.700011
0.720159,1.041393,0.934498,4.345766,2.193125,0.913814,3.870287
0.628389,1.255273,0.959041,4.286232,1.944483,1.100371,3.575072
0.658965,1.079181,0.977724,4.302331,2.103804,0.897627,3.719248
0.619093,0.954243,0.913814,4.319938,2.017033,0.875061,3.695832
0.552668,1.176091,0.880814,4.242044,1.812913,0.863323,3.627673
0.618048,1.431364,0.892095,4.23325,2.0086,0.939519,3.619198
0.661813,1.20412,0.857332,4.398808,1.995635,1.09691,3.744449
0.595496,1.39794,0.897627,4.255031,2.0086,0.939519,3.67006
0.625312,1.230449,0.819544,4.270912,1.908485,0.875061,3.593175
0.733999,1.380211,1.0086,4.24403,1.982271,1.079181,3.715
0.618048,1.342423,0.892095,4.29292,1.919078,0.924279,3.709863
0.606381,1.230449,0.919078,4.346744,1.929419,0.812913,3.611936
1.231724,1.944483,1.025306,4.354685,2.281033,1.123852,3.775974
1.229938,1.716003,1.123852,4.317018,2.075547,1.025306,3.587037
1.428783,1.255273,0.977724,4.024075,1.869232,0.78533,3.290702
1.36903,1.812913,0.954243,4.310906,2.32838,0.924279,3.654946
1.297761,1.770852,0.78533,4.392345,2.068186,0.672098,3.798651
0.641474,1.623249,0.886491,4.370883,1.934498,0.792392,3.222456
1.4777,1.69897,0.832509,4.402089,2.365488,0.78533,3.525304
1.016197,1.653213,0.968483,4.352568,2.0086,0.924279,3.561101
0.380211,1.70757,0.944483,4.192846,1.939519,0.838849,3.469675
0.882525,1.755875,1.037426,4.37236,2.225309,1.089905,3.534026
1.976029,1.518514,0.968483,4.448242,2.198657,0.94939,3.76095
1.163161,1.518514,1.190332,4.122871,2.155336,1.243038,3.509068
1.685114,1.681241,1.045323,4.189209,2.193125,1.227887,3.95318
1.255996,1.556303,1.181844,4.303844,2.09691,1.190332,3.801541
0.948413,1.623249,1.025306,4.20167,2.004321,1.136721,3.72049
0.630428,1.462398,1.037426,4.166726,2.09691,1.100371,3.824971
0.651278,1.643453,1.235528,4.402089,2.283301,1.361728,3.599337
0.987666,1.544068,1.190332,4.55364,2.060698,1.235528,4.017033
1.435844,1.643453,1.068186,4.022428,2.164353,1.117271,3.870462
1.192846,1.612784,1.103804,4.031812,2.318063,1.130334,3.434409
1.184123,1.612784,1.068186,4.286456,2.313867,1.10721,3.69223
1.575303,1.591065,0.977724,4.308991,2.178977,0.913814,3.702861
0.889302,1.770852,1.212188,4.366423,1.908485,1.245513,3.548512
1.581836,1.591065,1.155336,4.080266,2.149219,1.146128,3.693639
1.294025,1.556303,0.986772,4.040602,2.176091,1.149219,3.423574
0.716003,1.672098,1.245513,4.123852,1.897627,1.227887,3.455454
0.419956,1.322219,1.232996,4.215109,1.681241,1.359835,3.876795
0.432969,1.414973,0.977724,3.350442,1.799341,1.045323,3.647187
0.868644,1.39794,0.991226,4.187239,1.579784,0.643453,3.61363
1.09899,1.113943,1.450249,4.460296,1.863323,0.612784,3.382377
0.55145,1.612784,1.11059,4.130334,1.845098,1.181844,2.846955
0.515874,1.255273,1.232996,4.160769,1.982271,1.30103,3.638489
0.742725,1.380211,1.187521,3.998564,1.875061,1.193125,3.804208
0.623249,0.69897,0.995635,4.463893,1.113943,0.431364,3.843544
1.843669,1.462398,0.908485,4.097951,2.11059,0.70757,3.65629
1.16346,1.50515,0.832509,4.20085,1.959041,0.913814,3.043755
1.741939,1.579784,1.004321,4.369401,2.278754,0.968483,3.551328
1.748885,1.653213,1.071882,4.257918,2.394452,1.139879,3.665112
1.87017,1.230449,1.017033,4.37236,1.995635,0.832509,3.937367
1.873379,1.544068,0.968483,3.758306,2.10721,1.033424,3.066699
1.195346,1.60206,1.017033,4.201943,2.281033,1.127105,3.443889
0.607455,1.414973,0.826075,4.019532,2.130334,0.892095,3.658393
1.042182,1.556303,1.029384,4.47041,2.012837,0.939519,3.746167
1.0141,1.70757,1,4.180413,2.09691,1.184691,3.54382
1.099681,1.477121,0.799341,4.280351,2.0086,0.832509,3.70757
0.999565,1.612784,1.017033,4.162564,2.068186,1.139879,3.55279
1.056142,1.633468,1.041393,4.24279,2.267172,1.139879,3.710625
1.049218,1.672098,1,4.285557,2.117271,1.158362,3.797752
1.78533,1.361728,1.187521,4.282849,2.318063,1.262451,3.933285
0.61595,1.50515,1.281033,4.371622,2.230449,1.32838,3.737431
1.180986,1.477121,1.103804,4.238046,1.886491,1.193125,3.704236
0.962369,1.39794,1.217484,4.213783,1.838849,1.161368,3.818424
0.693727,1.672098,1.193125,4.282169,1.90309,1.187521,4.009451
1.266467,1.643453,1.227887,4.257679,2.120574,1.240549,3.746945
0.762679,1.672098,1.113943,4.167613,2.113943,1.320146,3.951532
0.790285,1.518514,1.225309,4.097604,1.863323,1.178977,3.874656
1.21801,0.954243,1.127105,4.031004,1.954243,0.991226,3.697491
1.266232,1.544068,1.155336,4.249198,2.230449,1.198657,3.933589
1.318063,1.60206,1.056905,4.259116,2.243038,1.217484,4.003029
1.227887,1.568202,1.167317,4.200029,2.127105,1.184691,4.031408
1.325516,1.414973,0.875061,4.250176,2.220108,0.995635,3.795393
1.390405,1.591065,1.161368,4.087071,2.389166,1.222716,4.009026
1.591176,1.812913,1.152288,4.182129,2.170262,1.190332,3.728435
1.253096,1.812913,1.113943,4.256718,2.10721,1.161368,3.844104
1.592399,1.30103,1.190332,4.214314,2.307496,1.161368,3.879325
1.137671,1.20412,0.986772,4.186391,2.045323,0.982271,3.5214
1.009451,1.414973,0.982271,4.245019,2.257679,0.954243,3.715669
1.017868,1.39794,0.954243,4.296007,2.164353,0.944483,3.64068
1.099681,1.414973,1.271842,3.966845,2.190332,1.378398,3.776701
1.419129,1.176091,0.919078,4.342817,2.089905,0.929419,3.569257
1.57588,1.748188,1.133539,4.30963,2.049218,1.017033,3.717254
1.345962,1.531479,1.037426,4.262451,2.155336,1.053078,3.619615
1.392345,0.60206,1.093422,4.214049,2.214844,0.799341,3.067815
1.557868,1.342423,0.977724,4.310693,2.100371,0.939519,3.481729
1.090963,1.361728,0.963788,4.176091,2,0.80618,3.40951
0.797268,1.591065,1.037426,4.324488,2.093422,1.045323,3.651181
1.396548,1.146128,1.064458,4.255755,2.117271,0.94939,3.569725
1.394452,1.414973,1.100371,4.327155,2.243038,1.071882,3.73464
1.35141,1.431364,1.161368,4.363048,2.326336,1.056905,3.72403
1.068557,1.20412,1.017033,4.311542,2.222716,1.049218,3.738939
1.656098,1.579784,0.913814,4.403635,2.346353,0.897627,3.600755
1.401228,1.342423,1.206826,4.332842,2.184691,1.025306,3.72362
1.412964,1.672098,1.045323,4.27277,2.278754,1.09691,3.676328
1.244277,1.662758,1.08636,4.236033,2.201397,1.206826,3.872739
1.181272,1.643453,0.968483,4.323458,2.136721,0.913814,3.657725
1.309204,1.39794,1.139879,4.263636,2.155336,0.977724,3.635484
1.519434,1.30103,1.184691,4.276462,2.143015,0.892095,3.555699
1.578983,1.681241,0.863323,4.566555,2.255273,0.869232,3.517855
1.194792,1.755875,0.740363,4.571709,2.222716,0.875061,3.476397
0.725912,1.447158,0.982271,4.457882,2.271842,1.082785,3.794349
0.887054,1.568202,0.959041,4.350442,2.170262,1.033424,3.73416
1.43072,1.755875,1,4.411114,2.206826,0.982271,3.715502
1.089198,1.431364,0.982271,4.426511,2.240549,0.977724,3.690019
1.188647,1.78533,1.071882,4.406029,2.190332,0.908485,3.438226
1.297761,1.623249,1.064458,4.245266,2.167317,0.919078,3.001084
1.235781,1.39794,1.045323,4.297542,2.0086,0.792392,3.394101
0.721811,1.278754,0.908485,4.026125,1.857332,0.792392,3.449787
0.537819,1.176091,0.863323,4.072617,1.857332,0.732394,3.473779
0.867467,1.322219,0.954243,4.257918,1.851258,0.851258,3.476687
0.836957,1.322219,0.869232,4.345962,1.778151,1.012837,3.564784
0.797268,1.361728,1.127105,4.229682,1.886491,1.120574,3.608633
0.623249,1.653213,0.991226,4.319106,2.017033,0.939519,3.638589
0.979548,1.690196,1.082785,4.293363,1.982271,1.146128,3.831358
0.579784,1.462398,1.09691,4.212986,1.838849,1.068186,3.74398
0.50515,1.20412,0.845098,4.276462,1.770852,0.995635,3.707911
0.445604,1.518514,1.161368,4.245513,1.897627,1.193125,3.594282
0.453318,1.431364,0.959041,4.135133,1.69897,1.021189,3.587149
0.609594,1.477121,1.004321,4.245513,1.869232,0.968483,3.513084
0.463893,1.568202,0.991226,4.238548,1.80618,1.029384,3.629104
0.38739,1.322219,1.079181,4.172895,1.913814,1.117271,3.660106
0.396199,1.681241,1.017033,4.193125,1.880814,1.10721,3.510545
